iter	Passed	Remaining
847	8733	1565
848	8742	1554
849	8750	1544
850	8759	1533
851	8769	1523
852	8777	1512
853	8788	1502
854	8797	1491
855	8806	1481
856	8817	1471
857	8826	1460
858	8836	1450
859	8844	1439
860	8854	1429
861	8862	1418
862	8872	1408
863	8880	1397
864	8891	1387
865	8901	1377
866	8910	1366
867	8919	1356
868	8928	1345
869	8937	1335
870	8945	1324
871	8954	1314
872	8962	1303
873	8973	1293
874	8985	1283
875	8994	1273
876	9003	1262
877	9012	1252
878	9021	1241
879	9031	1231
880	9040	1221
881	9050	1210
882	9058	1200
883	9067	1189
884	9076	1179
885	9085	1168
886	9093	1158
887	9102	1148
888	9111	1137
889	9121	1127
890	9132	1117
891	9141	1106
892	9150	1096
893	9158	1085
894	9168	1075
895	9177	1065
896	9186	1054
897	9196	1044
898	9205	1034
899	9214	1023
900	9223	1013
901	9232	1003
902	9241	992
903	9250	982
904	9259	971
905	9267	961
906	9278	951
907	9288	941
908	9299	930
909	9307	920
910	9316	910
911	9326	899
912	9335	889
913	9345	879
914	9353	868
915	9362	858
916	9370	848
917	9379	837
918	9387	827
919	9396	817
920	9404	806
921	9414	796
922	9424	786
923	9434	776
924	9445	765
925	9453	755
926	9462	745
927	9471	734
928	9480	724
929	9490	714
930	9498	703
931	9510	693
932	9518	683
933	9527	673
934	9535	662
935	9544	652
936	9554	642
937	9562	632
938	9574	622
939	9585	611
940	9595	601
941	9605	591
942	9614	581
943	9625	571
944	9634	560
945	9643	550
946	9654	540
947	9663	530
948	9673	519
949	9682	509
950	9691	499
951	9700	489
952	9709	478
953	9718	468
954	9729	458
955	9739	448
956	9748	438
957	9757	427
958	9767	417
959	9775	407
960	9785	397
961	9794	386
962	9804	376
963	9812	366
964	9823	356
965	9831	346
966	9842	335
967	9853	325
968	9861	315
969	9871	305
970	9880	295
971	9891	284
972	9903	274
973	9912	264
974	9921	254
975	9932	244
976	9942	234
977	9952	223
978	9961	213
979	9970	203
980	9980	193
981	9988	183
982	9998	172
983	10007	162
984	10018	152
985	10026	142
986	10035	132
987	10046	122
988	10057	111
989	10067	101
990	10075	91
991	10084	81
992	10094	71
993	10103	60
994	10113	50
995	10123	40
996	10132	30
997	10141	20
998	10152	10
999	10163	0
